x-axis,1,2,3,4
second,Ampere,Ampere,Ampere,Ampere
-50.000000E-03,-160.804016113E+00,-361.809036255E+00,-281.407028198E+00,-160.804016113E+00
-49.995000E-03,-165.829141617E+00,-402.010040283E+00,-276.381902695E+00,-155.778890610E+00
-49.990000E-03,-211.055271149E+00,-412.060291290E+00,-231.155773163E+00,-110.552761078E+00
-49.985000E-03,-241.206024170E+00,-442.211044312E+00,-241.206024170E+00,-40.201004028E+00
-49.980000E-03,-241.206024170E+00,-459.798983574E+00,-241.206024170E+00,+0.0E+00
-49.975000E-03,-241.206024170E+00,-482.412048340E+00,-183.417080879E+00,+40.201004028E+00
-49.970000E-03,-281.407028198E+00,-482.412048340E+00,-170.854267120E+00,+50.251255035E+00
-49.965000E-03,-281.407028198E+00,-482.412048340E+00,-153.266327858E+00,+113.065323830E+00
-49.960000E-03,-321.608032227E+00,-482.412048340E+00,-80.402008057E+00,+118.090449333E+00
-49.955000E-03,-321.608032227E+00,-482.412048340E+00,-40.201004028E+00,+120.603012085E+00
-49.950000E-03,-361.809036255E+00,-482.412048340E+00,-40.201004028E+00,+150.753765106E+00
-49.945000E-03,-334.170845985E+00,-482.412048340E+00,-12.562813759E+00,+145.728639603E+00
-49.940000E-03,-341.708534241E+00,-482.412048340E+00,-40.201004028E+00,+120.603012085E+00
-49.935000E-03,-361.809036255E+00,-442.211044312E+00,+0.0E+00,+135.678388596E+00
-49.930000E-03,-361.809036255E+00,-412.060291290E+00,+0.0E+00,+188.442206383E+00
-49.925000E-03,-394.472352028E+00,-361.809036255E+00,-40.201004028E+00,+241.206024170E+00
-49.920000E-03,-402.010040283E+00,-361.809036255E+00,-40.201004028E+00,+241.206024170E+00
-49.915000E-03,-361.809036255E+00,-321.608032227E+00,-40.201004028E+00,+241.206024170E+00
-49.910000E-03,-361.809036255E+00,-321.608032227E+00,-40.201004028E+00,+201.005020142E+00
-49.905000E-03,-361.809036255E+00,-281.407028198E+00,-40.201004028E+00,+185.929643631E+00
-49.900000E-03,-341.708534241E+00,-241.206024170E+00,-80.402008057E+00,+180.904518127E+00
-49.895000E-03,-321.608032227E+00,-201.005020142E+00,-80.402008057E+00,+160.804016113E+00
-49.890000E-03,-321.608032227E+00,-160.804016113E+00,-80.402008057E+00,+130.653263092E+00
-49.885000E-03,-321.608032227E+00,-120.603012085E+00,-233.668335915E+00,-67.839194298E+00
-49.880000E-03,-321.608032227E+00,-120.603012085E+00,-479.899485588E+00,-359.296473503E+00
-49.875000E-03,-321.608032227E+00,-120.603012085E+00,-597.989934921E+00,-557.788930893E+00
-49.870000E-03,-311.557781219E+00,-70.351757050E+00,-381.909538269E+00,-381.909538269E+00
-49.865000E-03,-281.407028198E+00,-40.201004028E+00,-266.331651688E+00,-266.331651688E+00
-49.860000E-03,-241.206024170E+00,+0.0E+00,-201.005020142E+00,-180.904518127E+00
-49.855000E-03,-241.206024170E+00,+40.201004028E+00,-110.552761078E+00,-183.417080879E+00
-49.850000E-03,-228.643210411E+00,+80.402008057E+00,-50.251255035E+00,-160.804016113E+00
-49.845000E-03,-165.829141617E+00,+80.402008057E+00,-5.025125504E+00,-125.628137589E+00
-49.840000E-03,-160.804016113E+00,+120.603012085E+00,-40.201004028E+00,-120.603012085E+00
-49.835000E-03,-160.804016113E+00,+120.603012085E+00,-2.512562752E+00,-82.914570808E+00
-49.830000E-03,-120.603012085E+00,+160.804016113E+00,-40.201004028E+00,-120.603012085E+00
-49.825000E-03,-120.603012085E+00,+185.929643631E+00,-80.402008057E+00,-92.964821815E+00
-49.820000E-03,-80.402008057E+00,+201.005020142E+00,-100.502510071E+00,-120.603012085E+00
-49.815000E-03,-55.276380539E+00,+201.005020142E+00,-135.678388596E+00,-120.603012085E+00
-49.810000E-03,+0.0E+00,+241.206024170E+00,-148.241202354E+00,-120.603012085E+00
-49.805000E-03,-5.025125504E+00,+233.668335915E+00,-193.467331886E+00,-160.804016113E+00
-49.800000E-03,+0.0E+00,+241.206024170E+00,-201.005020142E+00,-120.603012085E+00
-49.795000E-03,+40.201004028E+00,+201.005020142E+00,-201.005020142E+00,-155.778890610E+00
-49.790000E-03,+47.738692284E+00,+241.206024170E+00,-160.804016113E+00,-150.753765106E+00
-49.785000E-03,+52.763817787E+00,+226.130647659E+00,-160.804016113E+00,-133.165825844E+00
-49.780000E-03,+80.402008057E+00,+201.005020142E+00,-120.603012085E+00,-140.703514099E+00
-49.775000E-03,+95.477384567E+00,+216.080396652E+00,-55.276380539E+00,-120.603012085E+00
-49.770000E-03,+120.603012085E+00,+188.442206383E+00,-50.251255035E+00,-120.603012085E+00
-49.765000E-03,+120.603012085E+00,+160.804016113E+00,+0.0E+00,-80.402008057E+00
-49.760000E-03,+158.291453362E+00,+160.804016113E+00,+680.904505730E+00,+560.301493645E+00
-49.755000E-03,+201.005020142E+00,+160.804016113E+00,+427.135667801E+00,+391.959789276E+00
-49.750000E-03,+160.804016113E+00,+150.753765106E+00,+180.904518127E+00,+130.653263092E+00
-49.745000E-03,+160.804016113E+00,+120.603012085E+00,+67.839194298E+00,-10.050251007E+00
-49.740000E-03,+180.904518127E+00,+80.402008057E+00,+180.904518127E+00,+97.989947319E+00
-49.735000E-03,+201.005020142E+00,+80.402008057E+00,+201.005020142E+00,+160.804016113E+00
-49.730000E-03,+201.005020142E+00,+67.839194298E+00,+160.804016113E+00,+130.653263092E+00
-49.725000E-03,+201.005020142E+00,+32.663315773E+00,+125.628137589E+00,+85.427133560E+00
-49.720000E-03,+201.005020142E+00,+40.201004028E+00,+120.603012085E+00,+80.402008057E+00
-49.715000E-03,+203.517582893E+00,+35.175878525E+00,+120.603012085E+00,+2.512562752E+00
-49.710000E-03,+201.005020142E+00,+0.0E+00,+110.552761078E+00,+40.201004028E+00
-49.705000E-03,+170.854267120E+00,-40.201004028E+00,+80.402008057E+00,+25.125627518E+00
-49.700000E-03,+60.301506042E+00,-138.190951347E+00,+60.301506042E+00,+0.0E+00
-49.695000E-03,-22.613064766E+00,-201.005020142E+00,+15.075376511E+00,-40.201004028E+00
-49.690000E-03,-40.201004028E+00,-241.206024170E+00,+40.201004028E+00,-67.839194298E+00
-49.685000E-03,-72.864319801E+00,-241.206024170E+00,+40.201004028E+00,-113.065323830E+00
-49.680000E-03,-80.402008057E+00,-281.407028198E+00,+0.0E+00,-120.603012085E+00
-49.675000E-03,-115.577886581E+00,-321.608032227E+00,+40.201004028E+00,-120.603012085E+00
-49.670000E-03,-87.939696312E+00,-329.145720482E+00,-30.150753021E+00,-120.603012085E+00
-49.665000E-03,-133.165825844E+00,-361.809036255E+00,-12.562813759E+00,-160.804016113E+00
-49.660000E-03,-138.190951347E+00,-419.597979546E+00,-17.587939262E+00,-160.804016113E+00
-49.655000E-03,-135.678388596E+00,-424.623105049E+00,-40.201004028E+00,-175.879392624E+00
-49.650000E-03,-148.241202354E+00,-412.060291290E+00,-40.201004028E+00,-188.442206383E+00
-49.645000E-03,-120.603012085E+00,-442.211044312E+00,-80.402008057E+00,-233.668335915E+00
-49.640000E-03,-120.603012085E+00,-439.698481560E+00,-80.402008057E+00,-241.206024170E+00
-49.635000E-03,-120.603012085E+00,-402.010040283E+00,-80.402008057E+00,-203.517582893E+00
-49.630000E-03,-110.552761078E+00,-402.010040283E+00,-87.939696312E+00,-271.356777191E+00
-49.625000E-03,-80.402008057E+00,-402.010040283E+00,-80.402008057E+00,-241.206024170E+00
-49.620000E-03,-120.603012085E+00,-361.809036255E+00,-100.502510071E+00,-241.206024170E+00
-49.615000E-03,-103.015072823E+00,-321.608032227E+00,-80.402008057E+00,-241.206024170E+00
-49.610000E-03,-90.452259064E+00,-309.045218468E+00,-80.402008057E+00,-268.844214439E+00
-49.605000E-03,-80.402008057E+00,-246.231149673E+00,-80.402008057E+00,-246.231149673E+00
-49.600000E-03,-80.402008057E+00,-241.206024170E+00,-77.889445305E+00,-238.693461418E+00
-49.595000E-03,-82.914570808E+00,-241.206024170E+00,-75.376882553E+00,-241.206024170E+00
