机器序列号,
后台名称,hopeInsight
后台软件版本,004.008.000_176
后台协议版本,600.000.000
DSP软件版本,控制侧软件版本-100.006.101,
产品属性,1547976753
系列名称,传动
系列名称键值,Drive
产品名称,HV350
产品名称键值,HV350




文件生成时间,2022-06-09 22:43:19,V00004
波形实验条件,5k Fctrl Fsw




丢帧信息,
示波器开启时间,2022-06-09  21:44:21:298
纵轴,-10000,10000
时基,1.000,
时基转换率,1000.000,
X轴偏移量,1943.810,
X轴格数,20,




波形实验条件标题,
波形实验条件模板


设置参数
2022-06-09  21:44:36:397,S - 01.18,载波频率,sys_001_018,6.0,5.0,
2022-06-09  21:45:01:221,S - 01.18,载波频率,sys_001_018,5.0,4.0,
2022-06-09  21:45:45:555,S - 01.18,载波频率,sys_001_018,4.0,3.0,
2022-06-09  21:46:30: 25,S - 01.18,载波频率,sys_001_018,3.0,2.5,
2022-06-09  21:46:53:801,S - 01.18,载波频率,sys_001_018,2.5,1.0,


置顶参数
I - 57.43,速度环Kp(S120定标),inv_057_043,3.00,
I - 57.44,速度环Ti(S120定标),inv_057_044,300,
I - 105.01,Cpu使用率,inv_105_001,40.75,
I - 105.02,Cpu最大使用率,inv_105_002,61.41,
I - 54.22,开关频率实际值,inv_054_022,1000,
I - 52.27,PWM周期原始实际值,inv_052_027,30000,
S - 01.18,载波频率,sys_001_018,1.0,
I - 54.21,开关频率设定生效值,inv_054_021,1000,
I - 54.03,开关频率可调配置字,inv_054_003,1010001010010110,


标记信息


通道号,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12
通道参数,I8 - 54.22,S - 145.32,S - 145.33,,,,,,,,,,
起始逻辑号,8,0,0,,,,,,,,,,
逻辑数,1,1,1,,,,,,,,,,
通道名称,I - 54.22 开关频率实际值,S - 145.32 B相电流_ADC采样值,S - 145.33 C相电流_ADC采样值,,,,,,,,,,
设备地址,2,2,2,,,,,,,,,,
转换比例,1,1,1,,,,,,,,,,
数据类型,0,1,1,,,,,,,,,,
数据长度,2,2,2,,,,,,,,,,
数据格式,uint16,int16,int16,,,,,,,,,,
采样频率,5000,5000,5000,,,,,,,,,,
数据点数,19350,19350,19350,,,,,,,,,,
Y轴放大,1.000000,100.000000,100.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,
Y轴偏移,0.000000,-2053.000000,-2033.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
Y轴类型,0,0,0,0,0,0,0,0,0,0,0,0,
显示状态,1,0,1,0,0,0,0,0,0,0,0,0,
加粗状态,1,0,0,0,0,0,0,0,0,0,0,0,
bit位选择,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
数据
0,5999.000000,2044.000000,2041.000000, , , , , , , , , ,
1,5999.000000,2058.000000,2038.000000, , , , , , , , , ,
2,5999.000000,2058.000000,2034.000000, , , , , , , , , ,
3,5999.000000,2061.000000,2033.000000, , , , , , , , , ,
4,5999.000000,2045.000000,2030.000000, , , , , , , , , ,
5,5999.000000,2044.000000,2037.000000, , , , , , , , , ,
6,5999.000000,2047.000000,2031.000000, , , , , , , , , ,
