x-axis,1,2,3,4
second,Volt,Volt,Volt,Volt
-1.0160000E+00,,,,
-1.0158750E+00,,,,
-1.0157500E+00,,,,
-1.0156250E+00,-1.5154E-03,-63.0575E-03,-997.2E-06,-8.2993E-03
-1.0155000E+00,-7.9E-06,-69.3389E-03,-3.7610E-03,-1.2641E-03
-1.0153750E+00,-8.0323E-03,-59.0531E-03,-3.5254E-03,-5.2685E-03
-1.0152500E+00,-7.5455E-03,-64.0625E-03,-2.5204E-03,-5.0330E-03
-1.0151250E+00,-13.0575E-03,-61.3144E-03,-3.7610E-03,-3.0229E-03
-1.0150000E+00,-17.0776E-03,-57.5455E-03,-3.2742E-03,-7.2786E-03
-1.0148750E+00,-17.3288E-03,-55.2842E-03,-2.2692E-03,-3.2742E-03
-1.0147500E+00,-21.8514E-03,-55.2685E-03,-2.0179E-03,-4.2635E-03
-1.0146250E+00,-25.1178E-03,-52.5204E-03,-3.0072E-03,-6.5248E-03
-1.0145000E+00,-27.3791E-03,-49.0028E-03,-2.5204E-03,-3.2742E-03
-1.0143750E+00,-34.6655E-03,-52.2535E-03,-3.2585E-03,-6.0223E-03
-1.0142500E+00,-31.9174E-03,-43.4752E-03,-4.0122E-03,-5.7867E-03
-1.0141250E+00,-38.9369E-03,-42.9727E-03,-1.5154E-03,-3.5254E-03
-1.0140000E+00,-46.2233E-03,-47.4796E-03,-5.0173E-03,-6.2736E-03
-1.0138750E+00,-38.1988E-03,-33.1737E-03,-2.2692E-03,-4.0280E-03
-1.0137500E+00,-50.4947E-03,-39.4394E-03,-2.2535E-03,-3.7767E-03
-1.0136250E+00,-50.9972E-03,-34.6812E-03,-4.7660E-03,-6.7761E-03
-1.0135000E+00,-47.9978E-03,-25.6360E-03,-2.0179E-03,-3.2742E-03
-1.0133750E+00,-60.7962E-03,-36.1731E-03,-3.0072E-03,-5.7710E-03
-1.0132500E+00,-52.5204E-03,-22.3697E-03,-4.0122E-03,-6.2736E-03
-1.0131250E+00,-57.5298E-03,-22.3540E-03,-7.9E-06,-3.2742E-03
-1.0130000E+00,-65.5700E-03,-28.3841E-03,-4.7660E-03,-6.5248E-03
-1.0128750E+00,-54.7817E-03,-11.8169E-03,-2.5204E-03,-4.2792E-03
-1.0127500E+00,-68.0826E-03,-19.0876E-03,-2.0179E-03,-4.5148E-03
-1.0126250E+00,-67.5958E-03,-12.0682E-03,-4.0122E-03,-6.0223E-03
-1.0125000E+00,-63.5757E-03,-3.5254E-03,-2.0179E-03,-2.2692E-03
-1.0123750E+00,-74.3640E-03,-9.7911E-03,-4.0122E-03,-5.7710E-03
-1.0122500E+00,-70.3596E-03,+2.0022E-03,-3.7767E-03,-5.2842E-03
-1.0121250E+00,-73.1077E-03,+5.0173E-03,-1.2641E-03,-3.0229E-03
-1.0120000E+00,-77.3791E-03,+3.7767E-03,-3.7610E-03,-5.5198E-03
-1.0118750E+00,-74.3797E-03,+10.7962E-03,-3.2742E-03,-4.5305E-03
-1.0117500E+00,-77.1278E-03,+11.8012E-03,-2.2692E-03,-4.0280E-03
-1.0116250E+00,-79.8916E-03,+16.0726E-03,-2.7560E-03,-6.7761E-03
-1.0115000E+00,-82.4042E-03,+20.5952E-03,-3.5097E-03,-1.7666E-03
-1.0113750E+00,-77.3948E-03,+20.1084E-03,-3.2742E-03,-6.5248E-03
-1.0112500E+00,-84.6655E-03,+26.6253E-03,-2.5204E-03,-6.0380E-03
-1.0111250E+00,-85.1680E-03,+30.6454E-03,-2.5047E-03,-2.0179E-03
-1.0110000E+00,-80.1586E-03,+30.4099E-03,-3.5097E-03,-7.5298E-03
-1.0108750E+00,-93.4595E-03,+40.1932E-03,-3.5097E-03,-3.7767E-03
-1.0107500E+00,-79.1536E-03,+35.9375E-03,-2.7717E-03,-3.0229E-03
-1.0106250E+00,-84.1630E-03,+42.2032E-03,-2.5204E-03,-6.5248E-03
-1.0105000E+00,-93.9620E-03,+49.9921E-03,-3.5097E-03,-510.4E-06
-1.0103750E+00,-72.1184E-03,+41.9677E-03,-2.7717E-03,-6.5248E-03
-1.0102500E+00,-91.9519E-03,+53.5097E-03,-2.7560E-03,-7.0273E-03
-1.0101250E+00,-87.9475E-03,+55.2685E-03,-2.7560E-03,-761.6E-06
-1.0100000E+00,-72.8722E-03,+49.5053E-03,-4.2635E-03,-7.7811E-03
-1.0098750E+00,-96.9771E-03,+62.5550E-03,-3.0229E-03,-4.0280E-03
-1.0097500E+00,-76.6410E-03,+54.5305E-03,-3.0072E-03,-3.5254E-03
-1.0096250E+00,-81.3992E-03,+59.5399E-03,-2.5204E-03,-9.2886E-03
-1.0095000E+00,-91.9519E-03,+67.0776E-03,-4.0122E-03,-2.0179E-03
-1.0093750E+00,-70.3596E-03,+60.0581E-03,-3.5254E-03,-6.0223E-03
-1.0092500E+00,-86.6756E-03,+70.8464E-03,-2.0179E-03,-5.7867E-03
-1.0091250E+00,-80.4099E-03,+70.1084E-03,-2.5047E-03,-3.5254E-03
-1.0090000E+00,-69.3546E-03,+66.5908E-03,-3.2585E-03,-7.2786E-03
-1.0088750E+00,-83.4092E-03,+76.1228E-03,-3.5097E-03,-2.5204E-03
-1.0087500E+00,-72.3697E-03,+73.8772E-03,-2.5204E-03,-4.5148E-03
-1.0086250E+00,-71.3646E-03,+75.8715E-03,-3.0072E-03,-7.0273E-03
-1.0085000E+00,-72.6052E-03,+78.6354E-03,-4.0122E-03,-2.2692E-03
-1.0083750E+00,-68.6008E-03,+78.3998E-03,-3.0229E-03,-5.0173E-03
-1.0082500E+00,-66.5908E-03,+79.1379E-03,-2.2692E-03,-5.2685E-03
-1.0081250E+00,-64.5807E-03,+82.1530E-03,-2.5047E-03,-3.2742E-03
-1.0080000E+00,-65.3188E-03,+85.4193E-03,-3.2585E-03,-7.0273E-03
-1.0078750E+00,-57.5455E-03,+78.1486E-03,-3.2585E-03,-2.7717E-03
-1.0077500E+00,-61.5499E-03,+88.6856E-03,-2.0179E-03,-4.7660E-03
-1.0076250E+00,-57.5455E-03,+87.9475E-03,-2.5047E-03,-8.2836E-03
-1.0075000E+00,-51.0129E-03,+80.4099E-03,-3.2585E-03,-2.0179E-03
